тема;текст;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Здравствуйте, у вас есть на завтра аренда трамбоки 160-200кг?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте. У вас есть лестница от 5м?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, хотел бы взять в аренду у вас 2-3 шуроповерта мощных  Нужно вкручивать саморезы через листвиницу в металл  На суббота воскресенье;;;;;;;;;;;;;;;;;;;;;;;
станок распиловочный;Добрый вечер! Скажите пожалуйста распиловочный станок у вас можно в аренду взять, завтра или послезавтра;;;;;;;;;;;;;;;;;;;;;;;
фен аккумуляторный;Здравствуйт! Есть фен аккумулятор?;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Добрый день, есть бур по бетону 50мм?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день ! Перфоратор возможно сегодня у вас взять  ?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте, подскажите сколько стоит аренда фрезера ? На 2 дня;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;По чем полуавтомат;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
жираф;Здравствуйте! У вас есть шлифмашика для штукатурки? Сколько будет стоить аренда?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
лобзик;здравствуйте, а у вас есть лобзик?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый день, Есть ли электрогенератор 3 фазы , 5-6 кВт? Если есть , сколько стоит аренда сутки?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;здравствуйте  у вас есть дрель со сверлом именно для кафеля?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день! Мне нужен в аренду примерно дня на 4-5 перфоратор с силой удара от 4 до 8Дж + к этому перфоратору  насадка для сверления под розетку ( круглой формы, по моему её называют короной, но могу ошибаться) + насадка для штробления стены( бетон) под проводку.  Есть ли в наличии и стоимость прибора и доставки в черте СПб?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, есть в аренду подметальные машины?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте) сколько стоит аренда строительного пылесоса?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте. Где можно посмотреть прайс на инструменты?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте ,  стремянку за сколько можно аредовать ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день, скажите, пожалуйста, сегодня можно будет перфоратор в аренду взять?;;;;;;;;;;;;;;;;;;;;;;;
пушка тепловая;Здравствуйте. Подскажите пожалуйста, есть ли в наличии тепловая пушка? И какие условия?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Добрый день есть ли у вас полировальная машинка;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, сколько стоит аренда простого полуавтомата ?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Доброе утро! Нужна торцовочная пила.;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте у вас тарсовка есть на 45° градусов;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Добрый день завтра можно будет инструмент арендовать?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, сколько стоит в аренду лобзик и какие условия?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый день, подскажите пожалуйста, есть ли у вас шуруповёрт в прокате и сколько будет стоить его аренда на день?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый день, подскажите пожалуйста, есть у Вас пила по газобетону?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;здравствуйте, у вас есть в аренду дрель, шуруповерт и крестообразная ответрка?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер! Подскажите, у вас есть электро-лобзик?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый вечер. Подскажите пожалуйста по аренде торцовочный пилы? Есть в наличии в. Какую стоимость?;;;;;;;;;;;;;;;;;;;;;;;
пила дисковая;Добрый вечер. Интересует в аренду паркетка.;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, мне нужна болгарка с алмазным диском на воскресенье. У вас есть?;;;;;;;;;;;;;;;;;;;;;;;
степлер;Добрый вечер. Есть шпилькозабиватель ?Задача пробить мдф необработанный к стене и чтобы в шпаклевку на 2-3 мм зашло. Задача панели из мдф к стене прибить можно это сделать ?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;здравствуйте. У вас есть дорожная рейка длиной 3 метра?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по дереву;Здравствуйте. Есть гвоздизабивной пистолет под гвозди 100мм-130мм?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Доброй ночи ! Трамбовка на завтра есть свободная ?;;;;;;;;;;;;;;;;;;;;;;;
газовый баллон;Здравствуйте, а сколько будет стоить взять в аренду балон?;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Здравствуйте, а сколько будет стоить взять в аренду газовую пушку?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день. Сколько стоит аренда болгарки на сутки или вечер?;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте, сколько стоит арендовать сварочный полуавтомат на сутки?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте. Стоимость аренды строительного пылесоса на выходные?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте ,нужна аккумуляторная болгарка  Утром в субботу;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте, Коллеги;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте. Сколько стоит аренда краскопульта?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Здравствуйте, на каких условиях даёте в аренду инструменты?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Здравствуйте, ищу монтажный пистолет по бетону.  Есть ли свободный на среду?  Покажите фотки какой у Вас 🙏;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Здравствуйте интересует лазерный уровень, есть в наличии?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер, сколько будет стоить перфоратор на прокат Нужно сломать стену;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;Здравствуйте. Сколько будет стоить аренда сварочного инвертора? Мне нужно 4 распред. коробки сварить.;;;;;;;;;;;;;;;;;;;;;;;
пушка тепловая;Добрый день ! Есть тепловая пушка ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте, сколько будет стоить аренда строительного миксера;;;;;;;;;;;;;;;;;;;;;;;
заклепочник;Добрый вечер,клепальники электрические есть у вас в аренду?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Добры день, аренда рейсмуса в какую цену?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте,  интересует аренда генератора;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Добрый вечер, можно ли арендовать шуруповерт ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Здравствуйте Можно завтра арендовать лестницу на день?;;;;;;;;;;;;;;;;;;;;;;;
миксер;Добрый день. Строительный миксер имеется в наличии?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, хочу арендовать шлифмашинку для бетона (потолок) желательно с пылесосом чтобы она была на день (воскресенье, 31 августа). Есть ли у Вас такая и сколько она будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Здравствуйте, сколько стоит аренда дрели?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте! Мне нужен краскопульт для окраски фасада дома в аренду , есть у вас?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте. Подскажите, пожалуйста, стоимость аренды краскопульта в сутки и свободен ли 25-26 числа (завтра-послезавтра)?;;;;;;;;;;;;;;;;;;;;;;;
заклепочник;Здравствуйте есть заклепочник для вытяжных заклепок? Механический;;;;;;;;;;;;;;;;;;;;;;;
дрель-шуруповерт;Добрый день! Мне нужна дрель, какая цена аренды на сутки?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор аккумуляторный;Здравствуйте , есть перфератор аккумуляторный на завтра ?;;;;;;;;;;;;;;;;;;;;;;;
осушитель воздуха;Здравствуйте. Можно зарезервировать на завтра до 12ч осушитель?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте, торцевую пилу в какую стоимость можно взять в аренду на день?;;;;;;;;;;;;;;;;;;;;;;;
триммер;Здравствуйте! Мне нужен триммер на завтра на день;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте. Сколько стоит аренда болгарки с алмазной чашкой? Мне нужно снять краску со стены;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Здравствуйте! Нашу организацию (я представляю сейчас ИП) - интересует взять в аренду Станок рейсмусовый деревообрабатывающий с шириной обработки не менее 250 мм Какие условия аренды: 1. Кто может выступать арендатором? 2. Наличие/объем залога? 3. Стоимость аренды (сроки/цена)? 4. Возможность доставки арендодателем (находимся Канонерка)? Благодарю!;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Сообщение удалено;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Добрый день можно на завтра забронировать рановатор;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день!  можно будет в аренду перфоратор взять? и сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
степлер;Добрый день. Интересует степлер электрический, гвозди от 40 мм. Есть такое?;;;;;;;;;;;;;;;;;;;;;;;
рейсмус;Добрые день, скажите пожалуйста, сколько стоит аренда рейсмусового станка?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;Добрый день! Необходима аренда реноватора на сутки. Подскажите стоимость с самовывозом на Парнасе?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте! Подскажите, сколько будет стоить аренда перфоратора на день? Интересует на завтра 19.08;;;;;;;;;;;;;;;;;;;;;;;
мотопомпа;Добрый день. Есть ли у Вас мотопомпа в аренду? Сколько стоит в сутки?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте,нужен перфоратор;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, сколько стоит арендовать болгарку на пол для?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здраствуйте есть ли в аренду циклевочная машина? Оплата по безналу.;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Доброе утро! Когда можно будет подъехать к вам?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте! Подскажите, пожалуйста, есть в аренду строительный пылесос? Какая стоимость?;;;;;;;;;;;;;;;;;;;;;;;
реноватор;День добрый, реноватор в аренде есть у вас?;;;;;;;;;;;;;;;;;;;;;;;
триммер;Здравствуйте. Триммер бензиновый или хорошей мощности электрический имеется в аренду?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Доброе утро. У вас есть резьбонарезной ручной станок?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день!  Подскажите, пожалуйста, есть ли у вас циклевочная машина?  Сколько будет стоить аренда на день и какой вид/модель циклевочной машины?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день!  Подскажите, пожалуйста, есть ли у вас циклевочная машина и пылесос к ней?  Сколько будет стоить аренда на день и какой вид/модель циклевочной машины?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте!;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый вечер. У вас есть торцевая пила?;;;;;;;;;;;;;;;;;;;;;;;
резчик швов;Добрый день! Есть ли у вас доставка и вывоз? И какая стоимость будет за аренду нарезчика швов на 2 дня. (Режем асфальт);;;;;;;;;;;;;;;;;;;;;;;
пила погружная;Здравствуйте, у вас есть погружная пила с шиной аккумуляторная?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, нужен строительный пылесос и шлифовальная машина по бетону, для потолка, есть ли а вас в наличии? что для этого нужно?;;;;;;;;;;;;;;;;;;;;;;;
резчик швов;Здравствуйте.  Нужно пропилить дорожную плиту.  Что посоветуете?  Глубина Реза нужна от 20 см.;;;;;;;;;;;;;;;;;;;;;;;
дрель магнитная;Здравствуйте! Предлагается ли в аренду. Магнитный сверлильный станок;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, есть зажим для фальцевой кровли?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Добрый день, у Вас есть шлиф машинка в аренду?;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте.  Шуруповерт на сутки сколько стоит и какие условия?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Здравствуйте, нужна в аренду циклевочная машинка для паркета;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Добрый день. Подскажите сколько стоит аренда сварочного полуавтомата на сутки?;;;;;;;;;;;;;;;;;;;;;;;
пресс для труб РЕ-Х;Здравствуйте! Аксиальный прес под рехау есть ?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Добрый вечер. У вас есть сварочный аппарат ппр с насадками 125-100 ?. То есть для больших диаметром ппр;;;;;;;;;;;;;;;;;;;;;;;
дрель для алмазного бурения;Добрый день! Есть дрель для алмазного бурения?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Здравствуйте, аренда полировальной машинки сколько стоит?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте. Какие варианты бензогенератора у вас есть и по какой цене?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Доброй ночи, извините за позднее сообщение, хотел бы узнать стоимость аренды полировальной машинки для автомобиля;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, сколько будет стоить перфоратор на 1-2 часа;;;;;;;;;;;;;;;;;;;;;;;
пушка тепловая;Здравствуйте. Уточните, пожалуйста, есть ли у вас в аренду обогреватели?;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка;Добрый день! А сколько стоит аренда газонокосилки?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, у вас есть пылесосы для чистки мебели?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
удлинитель электричексий;Добрый день! У вас есть удлинитель 220в -,40/50 метров сегодня на сутки?;;;;;;;;;;;;;;;;;;;;;;;
газонокосилка;Аренда газонокосилки ск стоит у вас?;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте, подскажите, можно ли взять фрезер в аренду и сколько будет стоить;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день,  можно взять в аренду строительный пылесос? На сутки с 2 по 3 августа;;;;;;;;;;;;;;;;;;;;;;;
плиткорез ручной;Добрый день,  можно взять в аренду плиткорез? На сутки с 2 по 3 августа;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте! У вас есть на сутки или двое болгарка увеличенного диаметра? 200 например  СПб;;;;;;;;;;;;;;;;;;;;;;;
генератор;Добрый вечер Требуется арендовать генератор мощность 5кВт На 22.08 С 15:00 до 23:00 Подскажите пожалуйста сколько это может стоить ? Также имеется ли возможность осуществить трансфер и при необходимости завести генератор?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, сколько стоит аренда перфоратора;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте. Интересует аренда строительного пылесоса на 1 день. Нужен в понедельник 22.07.2025 . Сколько будет стоить и когда можно забрать?;;;;;;;;;;;;;;;;;;;;;;;
триммер аккумуляторный;Добрый день! У Вас есть в прокат аккумуляторный триммер ?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте сколько стоит аренда строительного пылесоса;;;;;;;;;;;;;;;;;;;;;;;
сварочный аппарат;здравствуйте, мне приварить две железки, что мне для этого посоветуете взять в аренду?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;добрый день! а можно у вас сегодня будет взять перфоратор в аренду?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день,подскажите пожалуйста сколько будет стоить арендовать перфоратор и сверло на 8 и 12 при возможности?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Добрый день! Сколько будет стоить аренда электропилы на 2 дня ? И куда надо подъехать? Часы работы;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте! Нужна торцовочная пила с диском, чтобы аккуратно резать углы плинтуса МДФ , какие условия и стоимость аренды ?😊;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, есть ли у вас в наличии следующие инструменты?  перфоратор ножницы по металлу  Нужно взять в аренду завтра в середине дня на двое суток. И сориентируйте пожалуйста по стоимости.;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, есть ли у вас в наличии следующие инструменты?  болгарка с диском по металлу  Нужно взять в аренду завтра в середине дня на двое суток. И сориентируйте пожалуйста по стоимости.;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;Здравствуйте, есть ли у вас в наличии следующие инструменты?  шуруповерт  Нужно взять в аренду завтра в середине дня на двое суток. И сориентируйте пожалуйста по стоимости.;;;;;;;;;;;;;;;;;;;;;;;
отбойный молоток;Здравствуйте бетонолом есть у вас сколько джоулей и какая модель?;;;;;;;;;;;;;;;;;;;;;;;
паяльник для ПВХ труб;Здравствуйте, ищу сварочный аппарат для полипропиленовых труб диаметром 90мм.у вас такой есть?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте, подскажите сколько у вас стоит аренда пылесоса кёрхер, например вд 3?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Добрый день, по поводу аренды сколько стоит инструменты?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Сообщение удалено;;;;;;;;;;;;;;;;;;;;;;;
фен;Добрый день! Сколько будет стоить аренда строительного фена на день?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Ушм 230 сколько в день?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Здравствуйте, возможно завтра взять в аренду полировочную машинку?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Сообщение удалено;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Добрый вечер, подскажите, будет ли фрезер с фрезой для врезки замков на завтра в аренду взять?;;;;;;;;;;;;;;;;;;;;;;;
генератор;Здравствуйте. Нужен генератор в аренду на эти выходные для питания походного холодильника. Есть небольшой свободный в наличии?;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, можно взять в аренду электролобзик на двое суток?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день Сколько будет стоить аренда перфоратора на сутки;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте, есть лобзик в наличии и сверло по дереву к нему?;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Добрый вечер! Подскажите пожалуйста, могу ли я взять у Вас в аренду торцовочную пилу завтра утром на сутки?;;;;;;;;;;;;;;;;;;;;;;;
шлифовальная машина;Здраствуйте, есть ли к вас шлифмашинки на аккумуляторе ?;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Здравствуйте. У Вас есть бур для установки кондиционера?;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте есть аппарат для снятия кровли ?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Доброго вечера, подскажите стоимость  аренды перфоратора ?;;;;;;;;;;;;;;;;;;;;;;;
лестница;добрый день нужна в аренду лестница трехсекционная, думаю ступеней на 7 хватит. нужно на одну ночь, работать в тц гранд каньон, ремонт кондиционера;;;;;;;;;;;;;;;;;;;;;;;
заклепочник;Здравствуйте, есть в наличии электро заклепочник?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Здравствуйте!   Интересует аренда трамбовки 250-300кг есть ли у вас такая?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день, в аренду у вас есть пылесос и шлифовальная машинка?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте, сколько стоит аренда трубореза?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте возможно ли завтра взять пылесос строительный в аренду?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день!;;;;;;;;;;;;;;;;;;;;;;;
торцовочная пила;Здравствуйте! торцовочная пила с протяжкой есть у вас? чтобы распилить стеновые панели, они тонкие но широкие 20см;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый вечер  У вас есть Перфоратор. И сколько это будет стоить на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый вечер  У вас есть  болгарка  И сколько это будет стоить на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень;Добрый вечер  У вас есть лазерный уровень (любой )  И сколько это будет стоить на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер  У вас есть лобзик  И сколько это будет стоить на 2 суток;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте. Интересует ленточная шлифмашина машинка на роликах . есть ?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Добрый день,краскопульт есть в наличии ?;;;;;;;;;;;;;;;;;;;;;;;
вопрос по режиму работы;Добрый вечер, работаете сейчас?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте,вам нужен инструмент для монтажных работ ?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте. А нет ли такой возможности, чтобы и мастера вместе с инструментом пригласить? Нужно болгаркой отпилить  полосу на декоративной плитке на балконе ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Привет;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Здравствуйте, а 32 бур есть в аренду?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Добрый день по аренде перфоратора возможно сегодня ?;;;;;;;;;;;;;;;;;;;;;;;
пушка электрическая;Здравствуйте есть электрическая пушка до 3КВТ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый вечер;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Сообщение удалено;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;здравствуйте, сколько будет стоить арендовать полуавтомат на субботу и воскресенье?;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Добрый день! У вас возможно на завтра с доставкой заказать бенз.трамбовку на 90 кг. Адрес доставки: улица Понссе, территория Южная часть производственной зоны Горелово, Виллозское г.п., Ломоносовский район. Работаеи по безналу с НДС.;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте мне нужен строительной пылесос;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый день, лобзик аккумуляторный есть?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте. Подскажите, пожалуйста, стоимость аренды строительного пылесоса;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте! Интересует строительный пылесос в аренду;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат;Здравствуйте,сколько стоит аренда сварочного полуавтомата?;;;;;;;;;;;;;;;;;;;;;;;
резчик швов;А резчик швов сколько будет в аренду стоить? И какие есть?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день, хотела узнать у вас насчет цены за аренду пылесоса с шлангом, работы на пару минут🙏🏻 Нужно протянуть леску по гофре. По адресу метро Рыбацкое, в какую стоимость это выйдет?;;;;;;;;;;;;;;;;;;;;;;;
бур для перфоратора;Добрый вечер! Есть в аренде бур 28х1000 и 32х1000 под sds plus. Сколько на сутки один и второй бур и если оба сразу возьму в аренду, цена такая же? Мне на полдня, максимум день. Спасибо;;;;;;;;;;;;;;;;;;;;;;;
фрезер;Здравствуйте! Нужно будет арендовать фрезер на следующей неделе на 1 день. Сколько будет стоить?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, интересует перфоратор sdc max и бур 40 д метр;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;добрый день;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Здравствуйте! Интересует лобзик электрический по дереву. Есть?;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Здравствуйте, сориентируйте пожалуйста по ценам.  Аренда : болгарки  Сроком на 12 часов и допустим сутки;;;;;;;;;;;;;;;;;;;;;;;
миксер;Здравствуйте, сориентируйте пожалуйста по ценам.  Аренда : строительного миксера  Сроком на 12 часов и допустим сутки;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер, подскажите есть ли в наличии электролобзик и пила циркулярная? Сколько по стоимости аренда?;;;;;;;;;;;;;;;;;;;;;;;
воздуходувка;Добрый день, подскажите пжл, есть ли у вас в аренду воздуходувка? Сколько по стоимости будет? Благодарю);;;;;;;;;;;;;;;;;;;;;;;
лестница;Добрый день, подскажите пжл, есть ли у вас в аренду самая длинная стремянка, метров так 12? Сколько по стоимости будет? Благодарю);;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день, строительный пылесос есть в наличии в аренду?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
лобзик;Добрый вечер. Элекролобзик в прокат есть?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Здравствуйте;;;;;;;;;;;;;;;;;;;;;;;
УШМ;Добрый день. Я забронировала маленькую болгарку минут 20 назад ,но потребность отпала,не могу дозвониться через Авито,скидывает вызов. Снимите бронь,пожалуйста,извините ,что так вышла. Наталья.;;;;;;;;;;;;;;;;;;;;;;;
виброплита;Здравствуйте. Сколько стоит аренда виброплиты с накладкой (ковриком) для плитки?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Доброй ночи;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день! Подскажите пожалуйста. Если сегодня арендовать строительный пылесос, завтра смогу его вернуть? Или завтра не работаете?;;;;;;;;;;;;;;;;;;;;;;;
УШМ аккумуляторная;Здравствуйте, у вас можно взять в аренду аккумуляторную болгарку?;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;циклевочная машина есть на прокат?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Доброе утро, какая стоимость аренда строительного пылесоса на 1 сутки?;;;;;;;;;;;;;;;;;;;;;;;
